disc_loss,gen_loss,wass_dist,val_loss
11.966,-0.4714,-0.0291,-0.4717
11.9379,-0.4511,-0.0555,-0.4513
11.9094,-0.4356,-0.0824,-0.4359
11.8614,-0.4095,-0.1277,-0.4098
11.8047,-0.3772,-0.1817,-0.3776
11.746,-0.3477,-0.2392,-0.3483
11.665,-0.3071,-0.3144,-0.3078
11.5771,-0.2652,-0.3916,-0.2663
11.488,-0.22,-0.4729,-0.2215
11.3569,-0.1683,-0.5904,-0.1698
11.2555,-0.1269,-0.6853,-0.1288
11.1955,-0.0794,-0.7466,-0.0805
11.1838,-0.0959,-0.8077,-0.0989
11.0507,-0.0371,-0.8622,-0.0382
11.012,-0.0335,-0.8971,-0.0354
11.1019,-0.0634,-0.8912,-0.0679
11.0528,-0.0115,-0.9386,-0.0117
11.0936,-0.0084,-0.8821,-0.0086
11.0289,-0.0085,-0.9701,-0.0088
11.0523,-0.0053,-0.9228,-0.0054
11.0828,-0.005,-0.9022,-0.0052
10.8719,-0.0454,-0.9455,-0.0485
10.8442,-0.0461,-0.9288,-0.0524
10.9666,-0.0068,-0.9815,-0.0078
11.02,-0.0051,-0.9796,-0.006
10.9504,-0.0091,-0.9782,-0.0109
10.8575,-0.2305,-0.9013,-0.2809
11.0397,-0.0126,-0.9441,-0.0159
10.9838,-0.0033,-0.9787,-0.0033
10.8754,-0.0037,-0.9482,-0.0042
10.7742,-0.0982,-0.9558,-0.1408
11.2418,-0.0938,-0.7526,-0.1317
10.7583,-0.0038,-0.9413,-0.0044
11.0998,-0.0023,-0.896,-0.0026
11.0877,-0.0034,-0.9066,-0.0045
10.7885,-0.0238,-0.9661,-0.0401
10.9903,-0.0378,-0.9455,-0.0644
11.0316,-0.0138,-0.9549,-0.0194
11.0053,-0.0052,-0.9322,-0.0105
11.0988,-0.0057,-0.8284,-0.0066
10.9249,-0.0102,-0.8636,-0.0211
10.9313,-0.0084,-0.9382,-0.0091
10.7356,-0.0394,-0.9232,-0.1133
11.0162,-0.2498,-0.6897,-0.3777
11.1089,-0.0098,-0.823,-0.0276
11.5056,-0.0028,-0.4757,-0.0037
11.5258,-0.0267,-0.4699,-0.0478
11.1432,-0.1531,-0.5929,-0.2649
11.2121,-0.1565,-0.514,-0.341
11.3577,-0.1862,-0.4837,-0.4015
11.5142,-0.0678,-0.1896,-0.1891
11.6131,-0.2348,-0.175,-0.1749
11.7153,-0.5326,0.0311,-0.9345
11.7914,-0.702,0.1118,-0.9115
11.9,-0.7963,0.2061,-0.9982
12.2665,-0.9652,0.2805,-0.9697
12.0325,-0.9994,0.0338,-0.9996
12.0259,-0.9999,0.026,-1.0
12.0004,-1.0,0.0004,-1.0
