disc_loss,gen_loss,wass_dist,val_loss
3.9431,-0.4868,-0.055,-0.487
3.8924,-0.4698,-0.1044,-0.4702
3.8273,-0.4336,-0.168,-0.4341
3.7166,-0.3913,-0.2792,-0.3919
3.5605,-0.3299,-0.4284,-0.3307
3.4067,-0.2412,-0.5774,-0.2417
3.2616,-0.1581,-0.7283,-0.1594
3.13,-0.0843,-0.8428,-0.0848
3.0703,-0.0469,-0.9174,-0.0479
3.0145,-0.0221,-0.9587,-0.0224
2.9714,-0.0105,-0.9755,-0.0106
3.0152,-0.0144,-0.9801,-0.0151
2.9393,-0.0153,-0.9776,-0.0163
3.0045,-0.0028,-0.9899,-0.0029
3.0178,-0.0237,-0.9822,-0.0255
2.934,-0.0168,-0.99,-0.0184
2.9938,-0.0035,-0.9808,-0.0038
3.0194,-0.002,-0.9806,-0.0021
2.9639,-0.0042,-0.9806,-0.0045
2.9837,-0.0036,-0.9937,-0.0039
2.8937,-0.0013,-0.988,-0.0013
3.0026,-0.0012,-0.9969,-0.0012
3.022,-0.0008,-0.9779,-0.0008
3.0018,-0.0027,-0.9982,-0.0028
2.9691,-0.002,-0.9924,-0.0022
2.8997,-0.0009,-0.9749,-0.0009
3.0035,-0.0014,-0.9963,-0.0015
2.8715,-0.0035,-0.9972,-0.0038
3.0144,-0.0069,-0.9856,-0.008
3.0039,-0.0026,-0.9959,-0.0031
2.8666,-0.0012,-0.9974,-0.0013
2.8887,-0.0009,-0.9956,-0.001
2.9676,-0.001,-0.9876,-0.001
3.0055,-0.0528,-0.973,-0.0723
2.9991,-0.0009,-0.9978,-0.001
3.0392,-0.0009,-0.96,-0.0009
3.0041,-0.0065,-0.9959,-0.0078
2.9998,-0.0012,-0.9948,-0.0014
3.0234,-0.0005,-0.9708,-0.0005
3.0025,-0.0005,-0.9948,-0.0005
3.0048,-0.0012,-0.9952,-0.0012
2.9229,-0.0035,-0.9486,-0.0042
3.0154,-0.0004,-0.9846,-0.0004
3.0814,-0.0004,-0.9184,-0.0004
2.825,-0.001,-0.9911,-0.0011
3.0244,-0.0219,-0.9582,-0.0238
3.0363,-0.0007,-0.9614,-0.0007
3.0069,-0.0006,-0.9927,-0.0006
3.0033,-0.009,-0.9964,-0.0109
2.9575,-0.009,-0.991,-0.0185
2.9968,-0.0134,-0.9777,-0.0167
3.0268,-0.0007,-0.9726,-0.0009
3.0348,-0.1141,-0.9651,-0.1518
2.9677,-0.001,-0.9986,-0.0012
2.8826,-0.0007,-0.9949,-0.0008
3.0259,-0.0008,-0.9737,-0.0011
2.9378,-0.0006,-0.9967,-0.0006
3.2625,-0.0003,-0.7374,-0.0003
2.9935,-0.4931,-0.9631,-0.6691
3.0269,-0.0006,-0.9729,-0.0007
3.5011,-0.0002,-0.4988,-0.0003
3.1213,-0.0018,-0.8534,-0.0033
2.9025,-0.0139,-0.8748,-0.0573
3.099,-0.001,-0.9007,-0.0011
