disc_loss,gen_loss,wass_dist,val_loss
14.9794,-0.4549,-0.0145,-0.4551
14.9585,-0.4464,-0.0338,-0.4467
14.9391,-0.4337,-0.052,-0.4339
14.9216,-0.4183,-0.068,-0.4186
14.8897,-0.4075,-0.098,-0.4078
14.8638,-0.391,-0.1216,-0.3914
14.8279,-0.3646,-0.1551,-0.365
14.7939,-0.3517,-0.1879,-0.3523
14.7503,-0.3392,-0.2268,-0.3401
14.7083,-0.3141,-0.2645,-0.315
14.6593,-0.2827,-0.3249,-0.2837
14.5905,-0.2596,-0.3701,-0.2612
14.5107,-0.2256,-0.4472,-0.2273
14.4828,-0.2031,-0.4816,-0.2059
14.4129,-0.1627,-0.5721,-0.1653
14.3122,-0.1465,-0.6255,-0.1502
14.2471,-0.1311,-0.6948,-0.1353
14.1751,-0.0935,-0.7632,-0.0967
14.1352,-0.0697,-0.7817,-0.0731
14.0036,-0.0631,-0.859,-0.0682
13.9845,-0.0399,-0.8712,-0.043
14.0542,-0.0507,-0.8965,-0.0577
13.9682,-0.136,-0.8715,-0.1573
14.1117,-0.0396,-0.882,-0.0468
13.8642,-0.018,-0.927,-0.0199
14.0196,-0.0105,-0.8714,-0.0109
14.1456,-0.0085,-0.8495,-0.0089
14.0855,-0.0151,-0.9112,-0.0167
14.089,-0.1639,-0.9064,-0.1982
14.1746,-0.0856,-0.8055,-0.1217
13.912,-0.024,-0.9454,-0.0324
13.7636,-0.0177,-0.9362,-0.0205
14.0889,-0.0069,-0.8994,-0.0073
14.0972,-0.0081,-0.841,-0.0104
13.818,-0.0714,-0.8903,-0.0918
13.9904,-0.2141,-0.686,-0.3173
14.086,-0.0282,-0.8308,-0.0486
13.9877,-0.0098,-0.8512,-0.0112
13.9988,-0.0064,-0.7724,-0.0126
14.1868,-0.0166,-0.587,-0.0197
14.1781,-0.2721,-0.6839,-0.5813
14.6167,-0.5066,-0.2824,-0.6408
14.4522,-0.142,-0.4716,-0.5787
14.0925,-0.0173,-0.5464,-0.0462
14.7183,-0.0083,-0.2794,-0.0197
14.9378,-0.0067,-0.0609,-0.0074
14.9535,-0.0067,-0.0446,-0.0393
14.9337,-0.0101,-0.065,-0.0286
14.9603,-0.0171,-0.0359,-0.0269
15.0002,-0.056,0.0297,-0.1497
15.0778,-0.0787,0.0798,-0.0992
15.0249,-0.0491,0.0315,-0.2576
15.1096,-0.051,0.1103,-0.2766
15.0559,-0.0343,0.0564,-0.0651
15.0303,-0.0104,0.0313,-0.0516
15.0354,-0.0105,0.0358,-0.0069
15.0088,-0.0056,0.0093,-0.0059
15.0026,-0.0048,0.0048,-0.0481
15.0024,-0.0037,0.003,-0.0136
